datetime,open,high,low,volume,SMA_12,SMA_26,RSI,close
12/25/2023 6:56,43150.8,43150.84,43150.8,12.66079,43142.15333,43133.62846,62.43705942,43150.83
12/25/2023 6:57,43150.84,43155,43150.83,3.41985,43144.04917,43134.395,63.50690292,43154.99
12/25/2023 6:58,43155,43155,43153.99,5.79707,43145.20917,43135.12346,70.51297526,43153.99
12/25/2023 6:59,43154,43154,43152.78,10.06304,43146.77,43135.805,64.29963798,43152.78
12/25/2023 7:00,43152.78,43160,43152.78,14.91392,43147.42083,43136.56923,60.38930944,43153.52
12/25/2023 7:01,43153.52,43161.51,43153.52,12.58589,43148.53417,43137.78077,70.5802969,43161.5
12/25/2023 7:02,43161.51,43201.1,43161.5,48.70923,43152.52083,43141.20308,78.08066138,43195.98
12/25/2023 7:03,43190.01,43200.75,43190.01,21.78688,43157.9975,43143.97769,78.63675958,43200.74
12/25/2023 7:04,43200.74,43200.75,43200.74,16.19636,43163.11583,43147.03192,78.63675958,43200.74
12/25/2023 7:05,43200.74,43200.75,43164.99,19.08013,43165.6125,43148.71077,63.09076614,43164.99
12/25/2023 7:06,43164.99,43165,43164.99,7.60832,43167.155,43150.39038,61.65365765,43165
12/25/2023 7:07,43165,43165,43153.94,6.87649,43167.41667,43151.64423,58.08465156,43153.94
12/25/2023 7:08,43153.95,43163.16,43153.94,7.42634,43168.4325,43152.96808,57.21393035,43163.02
12/25/2023 7:09,43163.03,43163.03,43146.49,11.31488,43167.725,43153.59731,48.30414892,43146.5
12/25/2023 7:10,43146.5,43146.5,43133.54,14.92637,43166.02167,43154.11846,43.81531854,43133.55
12/25/2023 7:11,43133.54,43140,43121.1,14.6822,43164.95583,43154.41654,44.71756585,43139.99
12/25/2023 7:12,43140,43140,43130,8.79086,43162.99583,43154.02923,42.05471286,43130
12/25/2023 7:13,43130,43147.85,43130,13.84786,43161.58167,43154.43231,47.48919593,43144.53
12/25/2023 7:14,43144.52,43146,43140,18.59203,43156.91667,43154.21269,45.97810566,43140
12/25/2023 7:15,43140.01,43140.01,43140,2.68581,43151.855,43153.89962,43.2854466,43140
12/25/2023 7:16,43140,43168,43140,9.79199,43149.12667,43154.66346,40.89311288,43168
12/25/2023 7:17,43167.99,43179.67,43167.99,9.96568,43150.06083,43156.24731,42.18769897,43176.2
12/25/2023 7:18,43176.19,43176.2,43170.28,4.47796,43150.50083,43157.43808,40.65529513,43170.28
12/25/2023 7:19,43170.29,43170.29,43170.28,4.97409,43151.8625,43158.79385,52.07891221,43170.28
12/25/2023 7:20,43170.29,43170.29,43161.1,5.58577,43151.7025,43159.35577,48.57038123,43161.1
12/25/2023 7:21,43161.1,43170,43161.1,9.96128,43153.66083,43160.09423,55.9818236,43170
12/25/2023 7:22,43169.99,43178,43156.92,45.98351,43155.60917,43160.32885,47.79714968,43156.93
12/25/2023 7:23,43156.92,43156.93,43147.84,7.02832,43156.26417,43160.05423,50.5160945,43147.85
12/25/2023 7:24,43147.85,43153.46,43140.97,21.94396,43158.21917,43160.03385,58.06399352,43153.46
12/25/2023 7:25,43153.46,43153.46,43125.73,11.90158,43156.84167,43159.08077,45.79209658,43128
12/25/2023 7:26,43128,43158.01,43128,15.93979,43158.27333,43159.22154,58.40653223,43157.18
12/25/2023 7:27,43157.18,43176.93,43157.18,20.7025,43161.35083,43159.815,59.7075743,43176.93
12/25/2023 7:28,43176.92,43176.93,43167.1,6.99127,43161.27583,43158.70423,57.86967127,43167.1
12/25/2023 7:29,43167.1,43167.11,43151.66,12.21469,43159.23083,43156.81654,53.10734463,43151.66
12/25/2023 7:30,43151.67,43151.67,43141.1,7.23427,43156.8,43154.52308,42.09907739,43141.11
12/25/2023 7:31,43141.1,43141.11,43141.07,4.03015,43154.36583,43153.60308,39.15807666,43141.07
12/25/2023 7:32,43141.08,43141.08,43133.96,6.1674,43152.10417,43152.40923,38.87254902,43133.96
12/25/2023 7:33,43133.96,43138.28,43133.96,7.79018,43149.10167,43151.64115,38.87629434,43133.97
12/25/2023 7:34,43133.96,43133.97,43130,8.34303,43146.85833,43150.37154,40.16076967,43130.01
12/25/2023 7:35,43130,43130.01,43101.53,34.97778,43144.09833,43149.14962,33.18732129,43114.73
12/25/2023 7:36,43114.73,43119.89,43114.73,6.42821,43141.30083,43148.62423,38.16310878,43119.89
12/25/2023 7:37,43119.89,43119.89,43119.88,4.77479,43140.625,43147.85115,40.51431673,43119.89
12/25/2023 7:38,43119.88,43136.73,43119.88,12.88399,43138.85917,43148.08154,44.46696649,43135.99
12/25/2023 7:39,43136,43136,43124.23,11.75862,43134.46833,43147.30115,48.69589345,43124.24
